Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S01-A91;J-N1R1;Unknown;250;gene3;Test;9,70082231930782;260,341333878306;1;Pass;0,0102099395112248;85,3474395043734;999;1;
S90-A01;R- Mix;Standard;250;normalizer1;Reference;4,00996130513959;193,695449159826;0,589494811696858;Fail;0,0102099395112248;80,0709992626514;999;1;
S90-A22;R- Mix;Standard;250;gene1;Test;13,9607149872108;44,5714416038597;1;Pass;0,0102099395112248;82,2805359648516;999;1;
S90-A29;R- Mix;Standard;250;gene4;Test;10,8504347001103;374,906304407663;1;Pass;0,0102099395112248;77,1728163824739;999;1;
S90-A67;R- Mix;Standard;250;gene2;Test;9,94405949492235;213,7233028222;1;Pass;0,0102099395112248;80,7552242029404;999;1;
S90-A96;R- Mix;Standard;250;normalizer2;Reference;11,3514870268158;264,726046614987;1;Pass;0,0102099395112248;82,0342330193604;999;1;
S90-A95;R- Mix;Standard;250;normalizer3;Reference;6,29233272081089;229,18110240768;0,964733138989231;Pass;0,0102099395112248;79,985124515831;999;1;
S90-A93;R- Mix;Standard;250;normalizer1bis;Reference;3,93359485327937;210,338879585682;0,644531617759791;Fail;0,0102099395112248;80,0375561983029;999;1;
S90-A91;R- Mix;Standard;250;gene3;Test;9,18560947283376;347,829046670712;0,973591381570952;Pass;0,0102099395112248;85,709241490921;999;1;
S12-A01;J-N4R3;Unknown;250;normalizer1;Reference;3,98207230083348;197,366633806564;0,660690766944494;Pass;0,0102099395112248;80,0815104783446;999;1;
S12-A22;J-N4R3;Unknown;250;gene1;Test;8,01352645504065;3262,15837966545;1;Pass;0,0102099395112248;82,4344362259095;999;1;
S12-A29;J-N4R3;Unknown;250;gene4;Test;10,4086000371444;491,175501078117;1;Pass;0,0102099395112248;77,177034838677;999;1;
S12-A67;J-N4R3;Unknown;250;gene2;Test;9,67783552609714;252,266451751845;1;Pass;0,0102099395112248;80,8018327795109;999;1;
S12-A96;J-N4R3;Unknown;250;normalizer2;Reference;11,2304556801618;282,190561296831;1;Pass;0,0102099395112248;82,0203501123496;999;1;
S12-A95;J-N4R3;Unknown;250;normalizer3;Reference;6,68471138202133;178,324030764715;1;Pass;0,0102099395112248;80,0050887317175;999;1;
